Source	Target
DEATHBIRD [SHI'AR]	BALLANTINE, DEVON
DEATHBIRD [SHI'AR]	EPOCH
DEATHBIRD [SHI'AR]	ERISHKIGEL II/HOLLY
DEATHBIRD [SHI'AR]	ANGLER
DEATHBIRD [SHI'AR]	WAYOPEX
WAYOPEX	BALLANTINE, MRS.
WAYOPEX	BALLANTINE, KAYLA
WAYOPEX	BALLANTINE, DEVON
WAYOPEX	EPOCH
WAYOPEX	ERISHKIGEL II/HOLLY
WAYOPEX	ANGLER
ANGLER	BALLANTINE, MRS.
ANGLER	ERISHKIGEL II/HOLLY
ERISHKIGEL II/HOLLY	BALLANTINE, MRS.
ERISHKIGEL II/HOLLY	BALLANTINE, DEVON
EPOCH	BALLANTINE, MRS.
BALLANTINE, DEVON	BALLANTINE, MRS.
BALLANTINE, KAYLA	BALLANTINE, MRS.
SHE-HULK/JENNIFER WA	MASON, LOUISE
SHE-HULK/JENNIFER WA	MEPHISTO
MEPHISTO	MASON, LOUISE
MEPHISTO	HUMAN TORCH/JOHNNY S
HUMAN TORCH/JOHNNY S	MASON, LOUISE
CHALIZ, SHANAZ RAYNA	CHALIZ, TABRIAZ
CHALIZ, SHANAZ RAYNA	WATSON-PARKER, MARY
CHALIZ, SHANAZ RAYNA	CONUNDRUM/
CHALIZ, SHANAZ RAYNA	JAMESON, J. JONAH
CHALIZ, SHANAZ RAYNA	WALTERS, BILLY
CHALIZ, SHANAZ RAYNA	SPIDER-MAN/PETER PARKER
CHALIZ, SHANAZ RAYNA	MAGUIRE
CHALIZ, SHANAZ RAYNA	GREEN GOBLIN/NORMAN
CHALIZ, SHANAZ RAYNA	JACK O'LANTERN II/MA
CHALIZ, SHANAZ RAYNA	THOMPSON, EUGENE FLA
CHALIZ, SHANAZ RAYNA	CHALIZ, HAZRAM
CHALIZ, HAZRAM	CHALIZ, TABRIAZ
CHALIZ, HAZRAM	WATSON-PARKER, MARY
CHALIZ, HAZRAM	CONUNDRUM/
CHALIZ, HAZRAM	JAMESON, J. JONAH
CHALIZ, HAZRAM	WALTERS, BILLY
CHALIZ, HAZRAM	SPIDER-MAN/PETER PARKER
CHALIZ, HAZRAM	MAGUIRE
CHALIZ, HAZRAM	GREEN GOBLIN/NORMAN
CHALIZ, HAZRAM	JACK O'LANTERN II/MA
CHALIZ, HAZRAM	THOMPSON, EUGENE FLA
THOMPSON, EUGENE FLA	CHALIZ, TABRIAZ
THOMPSON, EUGENE FLA	CONUNDRUM/
THOMPSON, EUGENE FLA	WALTERS, BILLY
THOMPSON, EUGENE FLA	MAGUIRE
THOMPSON, EUGENE FLA	JACK O'LANTERN II/MA
JACK O'LANTERN II/MA	CHALIZ, TABRIAZ
JACK O'LANTERN II/MA	WATSON-PARKER, MARY
JACK O'LANTERN II/MA	CONUNDRUM/
JACK O'LANTERN II/MA	JAMESON, J. JONAH
JACK O'LANTERN II/MA	WALTERS, BILLY
JACK O'LANTERN II/MA	SPIDER-MAN/PETER PARKER
JACK O'LANTERN II/MA	MAGUIRE
JACK O'LANTERN II/MA	GREEN GOBLIN/NORMAN
GREEN GOBLIN/NORMAN	CHALIZ, TABRIAZ
GREEN GOBLIN/NORMAN	CONUNDRUM/
GREEN GOBLIN/NORMAN	WALTERS, BILLY
GREEN GOBLIN/NORMAN	MAGUIRE
MAGUIRE	CHALIZ, TABRIAZ
MAGUIRE	WATSON-PARKER, MARY
MAGUIRE	CONUNDRUM/
MAGUIRE	JAMESON, J. JONAH
MAGUIRE	WALTERS, BILLY
MAGUIRE	SPIDER-MAN/PETER PARKER
SPIDER-MAN/PETER PARKER	CHALIZ, TABRIAZ
SPIDER-MAN/PETER PARKER	CONUNDRUM/
SPIDER-MAN/PETER PARKER	WALTERS, BILLY
WALTERS, BILLY	CHALIZ, TABRIAZ
WALTERS, BILLY	WATSON-PARKER, MARY
WALTERS, BILLY	CONUNDRUM/
WALTERS, BILLY	JAMESON, J. JONAH
JAMESON, J. JONAH	CHALIZ, TABRIAZ
JAMESON, J. JONAH	CONUNDRUM/
CONUNDRUM/	CHALIZ, TABRIAZ
CONUNDRUM/	WATSON-PARKER, MARY
WATSON-PARKER, MARY	CHALIZ, TABRIAZ
URICH, BEN	GREEN GOBLIN/NORMAN
URICH, BEN	GOTTFRIED, WILLIS
URICH, BEN	HOBGOBLIN II/RODERIC
URICH, BEN	GREEN GOBLIN V/
URICH, BEN	STACY, JILL
STACY, JILL	GOTTFRIED, WILLIS
STACY, JILL	HOBGOBLIN II/RODERIC
STACY, JILL	GREEN GOBLIN V/
WATSON-PARKER, MARY	GOTTFRIED, WILLIS
WATSON-PARKER, MARY	GREEN GOBLIN V/
GREEN GOBLIN V/	SPIDER-MAN/PETER PARKER
GREEN GOBLIN V/	LEEDS, BETTY BRANT
GREEN GOBLIN V/	GREEN GOBLIN/NORMAN
GREEN GOBLIN V/	THOMPSON, EUGENE FLA
GREEN GOBLIN V/	GOTTFRIED, WILLIS
GREEN GOBLIN V/	HOBGOBLIN II/RODERIC
GREEN GOBLIN V/	JAMESON, J. JONAH
JAMESON, J. JONAH	GOTTFRIED, WILLIS
HOBGOBLIN II/RODERIC	GREEN GOBLIN/NORMAN
HOBGOBLIN II/RODERIC	THOMPSON, EUGENE FLA
HOBGOBLIN II/RODERIC	GOTTFRIED, WILLIS
GOTTFRIED, WILLIS	SPIDER-MAN/PETER PARKER
GOTTFRIED, WILLIS	LEEDS, BETTY BRANT
GOTTFRIED, WILLIS	GREEN GOBLIN/NORMAN
GOTTFRIED, WILLIS	THOMPSON, EUGENE FLA
WATSON, ANNA	GIBBON/MARTIN BLANK
WATSON, ANNA	PROFESSOR ANGST/DR.
WATSON, ANNA	KRAVEN THE HUNTER II
WATSON, ANNA	CALYPSO
WATSON, ANNA	GRIZZLY/MAXWELL MARK
WATSON-PARKER, MARY	GIBBON/MARTIN BLANK
WATSON-PARKER, MARY	PROFESSOR ANGST/DR.
WATSON-PARKER, MARY	KRAVEN THE HUNTER II
WATSON-PARKER, MARY	CALYPSO
WATSON-PARKER, MARY	GRIZZLY/MAXWELL MARK
GRIZZLY/MAXWELL MARK	GIBBON/MARTIN BLANK
GRIZZLY/MAXWELL MARK	GREEN GOBLIN/NORMAN
GRIZZLY/MAXWELL MARK	PROFESSOR ANGST/DR.
GRIZZLY/MAXWELL MARK	KRAVEN THE HUNTER II
GRIZZLY/MAXWELL MARK	SPIDER-MAN/PETER PARKER
GRIZZLY/MAXWELL MARK	CALYPSO
CALYPSO	GIBBON/MARTIN BLANK
CALYPSO	GREEN GOBLIN/NORMAN
CALYPSO	PROFESSOR ANGST/DR.
CALYPSO	KRAVEN THE HUNTER II
CALYPSO	SPIDER-MAN/PETER PARKER
SPIDER-MAN/PETER PARKER	GIBBON/MARTIN BLANK
SPIDER-MAN/PETER PARKER	PROFESSOR ANGST/DR.
SPIDER-MAN/PETER PARKER	KRAVEN THE HUNTER II
KRAVEN THE HUNTER II	GIBBON/MARTIN BLANK
KRAVEN THE HUNTER II	GREEN GOBLIN/NORMAN
KRAVEN THE HUNTER II	PROFESSOR ANGST/DR.
PROFESSOR ANGST/DR.	GIBBON/MARTIN BLANK
PROFESSOR ANGST/DR.	GREEN GOBLIN/NORMAN
GREEN GOBLIN/NORMAN	GIBBON/MARTIN BLANK
ARAGORN	D'SPAYRE
D'SPAYRE	NORRISS, SISTER BARB
OSBORN, NORMIE	JAMESON, MARLA MADIS
OSBORN, NORMIE	ROBERTSON, JOE
OSBORN, NORMIE	KRAVEN THE HUNTER II
OSBORN, NORMIE	WATSON, ANNA
OSBORN, NORMIE	CALYPSO
OSBORN, NORMIE	THOMPSON, EUGENE FLA
OSBORN, NORMIE	ROBERTSON, MARTHA
OSBORN, NORMIE	THOMPSON, JESSICA JE
OSBORN, NORMIE	THOMPSON, HARRISON
OSBORN, NORMIE	THOMPSON, ROSIE
OSBORN, NORMIE	JAMESON, COL. JOHN
OSBORN, NORMIE	KAFKA, DR. ASHLEY
OSBORN, NORMIE	NELSON, FRANKLIN FOG
JAMESON, J. JONAH	KRAVEN THE HUNTER II
JAMESON, J. JONAH	CALYPSO
JAMESON, J. JONAH	ROBERTSON, MARTHA
JAMESON, J. JONAH	THOMPSON, JESSICA JE
JAMESON, J. JONAH	THOMPSON, HARRISON
JAMESON, J. JONAH	THOMPSON, ROSIE
JAMESON, J. JONAH	KAFKA, DR. ASHLEY
NELSON, FRANKLIN FOG	JAMESON, MARLA MADIS
NELSON, FRANKLIN FOG	GREEN GOBLIN/NORMAN
NELSON, FRANKLIN FOG	WATSON-PARKER, MARY
NELSON, FRANKLIN FOG	ROBERTSON, JOE
NELSON, FRANKLIN FOG	KRAVEN THE HUNTER II
NELSON, FRANKLIN FOG	WATSON, ANNA
NELSON, FRANKLIN FOG	CALYPSO
NELSON, FRANKLIN FOG	THOMPSON, EUGENE FLA
NELSON, FRANKLIN FOG	ROBERTSON, MARTHA
NELSON, FRANKLIN FOG	THOMPSON, JESSICA JE
NELSON, FRANKLIN FOG	THOMPSON, HARRISON
NELSON, FRANKLIN FOG	THOMPSON, ROSIE
NELSON, FRANKLIN FOG	JAMESON, COL. JOHN
NELSON, FRANKLIN FOG	KAFKA, DR. ASHLEY
KAFKA, DR. ASHLEY	JAMESON, MARLA MADIS
KAFKA, DR. ASHLEY	OSBORN, LIZ ALLAN
KAFKA, DR. ASHLEY	GREEN GOBLIN/NORMAN
KAFKA, DR. ASHLEY	WATSON-PARKER, MARY
KAFKA, DR. ASHLEY	ROBERTSON, JOE
KAFKA, DR. ASHLEY	KRAVEN THE HUNTER II
KAFKA, DR. ASHLEY	WATSON, ANNA
KAFKA, DR. ASHLEY	CALYPSO
KAFKA, DR. ASHLEY	THOMPSON, EUGENE FLA
KAFKA, DR. ASHLEY	ROBERTSON, MARTHA
KAFKA, DR. ASHLEY	SPIDER-MAN/PETER PARKER
KAFKA, DR. ASHLEY	THOMPSON, JESSICA JE
KAFKA, DR. ASHLEY	THOMPSON, HARRISON
KAFKA, DR. ASHLEY	THOMPSON, ROSIE
KAFKA, DR. ASHLEY	JAMESON, COL. JOHN
JAMESON, COL. JOHN	JAMESON, MARLA MADIS
JAMESON, COL. JOHN	OSBORN, LIZ ALLAN
JAMESON, COL. JOHN	GREEN GOBLIN/NORMAN
JAMESON, COL. JOHN	WATSON-PARKER, MARY
JAMESON, COL. JOHN	ROBERTSON, JOE
JAMESON, COL. JOHN	KRAVEN THE HUNTER II
JAMESON, COL. JOHN	WATSON, ANNA
JAMESON, COL. JOHN	CALYPSO
JAMESON, COL. JOHN	THOMPSON, EUGENE FLA
JAMESON, COL. JOHN	ROBERTSON, MARTHA
JAMESON, COL. JOHN	THOMPSON, JESSICA JE
JAMESON, COL. JOHN	THOMPSON, HARRISON
JAMESON, COL. JOHN	THOMPSON, ROSIE
THOMPSON, ROSIE	JAMESON, MARLA MADIS
THOMPSON, ROSIE	OSBORN, LIZ ALLAN
THOMPSON, ROSIE	GREEN GOBLIN/NORMAN
THOMPSON, ROSIE	WATSON-PARKER, MARY
THOMPSON, ROSIE	ROBERTSON, JOE
THOMPSON, ROSIE	KRAVEN THE HUNTER II
THOMPSON, ROSIE	WATSON, ANNA
THOMPSON, ROSIE	CALYPSO
THOMPSON, ROSIE	THOMPSON, EUGENE FLA
THOMPSON, ROSIE	ROBERTSON, MARTHA
THOMPSON, ROSIE	SPIDER-MAN/PETER PARKER
THOMPSON, ROSIE	THOMPSON, JESSICA JE
THOMPSON, ROSIE	THOMPSON, HARRISON
THOMPSON, HARRISON	JAMESON, MARLA MADIS
THOMPSON, HARRISON	OSBORN, LIZ ALLAN
THOMPSON, HARRISON	GREEN GOBLIN/NORMAN
THOMPSON, HARRISON	WATSON-PARKER, MARY
THOMPSON, HARRISON	ROBERTSON, JOE
THOMPSON, HARRISON	KRAVEN THE HUNTER II
THOMPSON, HARRISON	WATSON, ANNA
THOMPSON, HARRISON	CALYPSO
THOMPSON, HARRISON	THOMPSON, EUGENE FLA
THOMPSON, HARRISON	ROBERTSON, MARTHA
THOMPSON, HARRISON	SPIDER-MAN/PETER PARKER
THOMPSON, HARRISON	THOMPSON, JESSICA JE
THOMPSON, JESSICA JE	JAMESON, MARLA MADIS
THOMPSON, JESSICA JE	OSBORN, LIZ ALLAN
THOMPSON, JESSICA JE	GREEN GOBLIN/NORMAN
THOMPSON, JESSICA JE	WATSON-PARKER, MARY
THOMPSON, JESSICA JE	ROBERTSON, JOE
THOMPSON, JESSICA JE	KRAVEN THE HUNTER II
THOMPSON, JESSICA JE	WATSON, ANNA
THOMPSON, JESSICA JE	CALYPSO
THOMPSON, JESSICA JE	THOMPSON, EUGENE FLA
THOMPSON, JESSICA JE	ROBERTSON, MARTHA
THOMPSON, JESSICA JE	SPIDER-MAN/PETER PARKER
SPIDER-MAN/PETER PARKER	ROBERTSON, MARTHA
ROBERTSON, MARTHA	JAMESON, MARLA MADIS
ROBERTSON, MARTHA	OSBORN, LIZ ALLAN
ROBERTSON, MARTHA	GREEN GOBLIN/NORMAN
ROBERTSON, MARTHA	WATSON-PARKER, MARY
ROBERTSON, MARTHA	ROBERTSON, JOE
ROBERTSON, MARTHA	KRAVEN THE HUNTER II
ROBERTSON, MARTHA	WATSON, ANNA
ROBERTSON, MARTHA	CALYPSO
ROBERTSON, MARTHA	THOMPSON, EUGENE FLA
THOMPSON, EUGENE FLA	KRAVEN THE HUNTER II
THOMPSON, EUGENE FLA	CALYPSO
CALYPSO	JAMESON, MARLA MADIS
CALYPSO	OSBORN, LIZ ALLAN
CALYPSO	ROBERTSON, JOE
KRAVEN THE HUNTER II	JAMESON, MARLA MADIS
KRAVEN THE HUNTER II	OSBORN, LIZ ALLAN
KRAVEN THE HUNTER II	ROBERTSON, JOE
GREEN GOBLIN/NORMAN	JAMESON, MARLA MADIS
LEEDS, BETTY BRANT	KRAVEN THE HUNTER II
KRAVEN THE HUNTER II	STACY, JILL
WATSON-PARKER, MARY	WHITE RABBIT
GREEN GOBLIN/NORMAN	WHITE RABBIT
WATSON, ANNA	WHITE RABBIT
GIBBON/MARTIN BLANK	JAMESON, J. JONAH
GIBBON/MARTIN BLANK	WHITE RABBIT
GIBBON/MARTIN BLANK	THOMPSON, EUGENE FLA
THOMPSON, EUGENE FLA	GRIZZLY/MAXWELL MARK
THOMPSON, EUGENE FLA	WHITE RABBIT
WHITE RABBIT	SPIDER-MAN/PETER PARKER
WHITE RABBIT	GRIZZLY/MAXWELL MARK
WHITE RABBIT	JAMESON, J. JONAH
JAMESON, J. JONAH	GRIZZLY/MAXWELL MARK
JAMESON, J. JONAH	HILLIARD, JACOB
JAMESON, J. JONAH	DIPALMA, JOHNNY
GREEN GOBLIN/NORMAN	HILLIARD, JACOB
GREEN GOBLIN/NORMAN	DIPALMA, JOHNNY
WATSON, ANNA	JACK O'LANTERN II/MA
WATSON, ANNA	HILLIARD, JACOB
WATSON, ANNA	WALTERS, BILLY
WATSON, ANNA	CHALIZ, SHANAZ RAYNA
WATSON, ANNA	MAGUIRE
WATSON, ANNA	CHALIZ, HAZRAM
WATSON, ANNA	CONUNDRUM/
WATSON, ANNA	DIPALMA, JOHNNY
WATSON, ANNA	CHALIZ, TABRIAZ
SPIDER-MAN/PETER PARKER	HILLIARD, JACOB
SPIDER-MAN/PETER PARKER	DIPALMA, JOHNNY
THOMPSON, EUGENE FLA	HILLIARD, JACOB
THOMPSON, EUGENE FLA	DIPALMA, JOHNNY
CHALIZ, TABRIAZ	LEEDS, BETTY BRANT
CHALIZ, TABRIAZ	HILLIARD, JACOB
CHALIZ, TABRIAZ	DIPALMA, JOHNNY
WATSON-PARKER, MARY	HILLIARD, JACOB
WATSON-PARKER, MARY	DIPALMA, JOHNNY
DIPALMA, JOHNNY	LEEDS, BETTY BRANT
DIPALMA, JOHNNY	JACK O'LANTERN II/MA
DIPALMA, JOHNNY	HILLIARD, JACOB
DIPALMA, JOHNNY	WALTERS, BILLY
DIPALMA, JOHNNY	CHALIZ, SHANAZ RAYNA
DIPALMA, JOHNNY	MAGUIRE
DIPALMA, JOHNNY	CHALIZ, HAZRAM
DIPALMA, JOHNNY	CONUNDRUM/
CONUNDRUM/	LEEDS, BETTY BRANT
CONUNDRUM/	HILLIARD, JACOB
CHALIZ, HAZRAM	LEEDS, BETTY BRANT
CHALIZ, HAZRAM	HILLIARD, JACOB
MAGUIRE	LEEDS, BETTY BRANT
MAGUIRE	HILLIARD, JACOB
CHALIZ, SHANAZ RAYNA	LEEDS, BETTY BRANT
CHALIZ, SHANAZ RAYNA	HILLIARD, JACOB
WALTERS, BILLY	LEEDS, BETTY BRANT
WALTERS, BILLY	HILLIARD, JACOB
HILLIARD, JACOB	LEEDS, BETTY BRANT
HILLIARD, JACOB	JACK O'LANTERN II/MA
JACK O'LANTERN II/MA	LEEDS, BETTY BRANT
JAMESON, J. JONAH	CARNAGE/CLETUS KASAD
JAMESON, J. JONAH	BUZZ
TRAINER, DR. SEWARD	CARNAGE/CLETUS KASAD
TRAINER, DR. SEWARD	JAMESON, COL. JOHN
TRAINER, DR. SEWARD	BUZZ
WATSON-PARKER, MARY	CARNAGE/CLETUS KASAD
WATSON-PARKER, MARY	BUZZ
CARRADINE, JESSICA J	CARNAGE/CLETUS KASAD
CARRADINE, JESSICA J	JAMESON, COL. JOHN
CARRADINE, JESSICA J	BUZZ
CARRADINE, JESSICA J	TREVANE, DET. CONNOR
LEWIS, SHIRLEY WASHI	CARNAGE/CLETUS KASAD
LEWIS, SHIRLEY WASHI	JAMESON, COL. JOHN
LEWIS, SHIRLEY WASHI	BUZZ
LEWIS, SHIRLEY WASHI	TREVANE, DET. CONNOR
TREVANE, DET. CONNOR	CARNAGE/CLETUS KASAD
TREVANE, DET. CONNOR	JAMESON, COL. JOHN
TREVANE, DET. CONNOR	BUZZ
BUZZ	SPIDER-MAN/PETER PARKER
BUZZ	SPIDER-MAN CLONE/BEN
BUZZ	CARNAGE/CLETUS KASAD
BUZZ	ROBERTSON, JOE
BUZZ	JAMESON, COL. JOHN
JAMESON, COL. JOHN	SPIDER-MAN CLONE/BEN
JAMESON, COL. JOHN	CARNAGE/CLETUS KASAD
ROBERTSON, JOE	CARNAGE/CLETUS KASAD
CARNAGE/CLETUS KASAD	SPIDER-MAN/PETER PARKER
CARNAGE/CLETUS KASAD	SPIDER-MAN CLONE/BEN
ROSE IV/JACOB JAKE C	GREEN GOBLIN/NORMAN
ROSE IV/JACOB JAKE C	STACY, PAUL
ROSE IV/JACOB JAKE C	STACY, JILL
ROSE IV/JACOB JAKE C	WATSON-PARKER, MARY
ROSE IV/JACOB JAKE C	OVERRIDE/DR. GREGORY
ROSE IV/JACOB JAKE C	SPIDER-MAN/PETER PARKER
ROSE IV/JACOB JAKE C	OSBORN, NORMIE
ROSE IV/JACOB JAKE C	GREEN GOBLIN V/
ROSE IV/JACOB JAKE C	OSBORN, LIZ ALLAN
ROSE IV/JACOB JAKE C	SHOTGUN III/
ROSE IV/JACOB JAKE C	URICH, BEN
ROSE IV/JACOB JAKE C	PUNISHER II/FRANK CA
ROSE IV/JACOB JAKE C	WATSON, ANNA
ROSE IV/JACOB JAKE C	PROFESSOR ANGST/DR.
ROSE IV/JACOB JAKE C	LEEDS, BETTY BRANT
ROSE IV/JACOB JAKE C	STACY, ARTHUR
ROSE IV/JACOB JAKE C	THOMPSON, EUGENE FLA
ROSE IV/JACOB JAKE C	JAMESON, J. JONAH
ROSE IV/JACOB JAKE C	AURA/ANN HERD
ROSE IV/JACOB JAKE C	FIELDING, CLARENCE
ROSE IV/JACOB JAKE C	FORTUNATO, GIACOMO J
FORTUNATO, GIACOMO J	GREEN GOBLIN/NORMAN
FORTUNATO, GIACOMO J	STACY, PAUL
FORTUNATO, GIACOMO J	WATSON-PARKER, MARY
FORTUNATO, GIACOMO J	OVERRIDE/DR. GREGORY
FORTUNATO, GIACOMO J	OSBORN, NORMIE
FORTUNATO, GIACOMO J	GREEN GOBLIN V/
FORTUNATO, GIACOMO J	OSBORN, LIZ ALLAN
FORTUNATO, GIACOMO J	SHOTGUN III/
FORTUNATO, GIACOMO J	URICH, BEN
FORTUNATO, GIACOMO J	PUNISHER II/FRANK CA
FORTUNATO, GIACOMO J	WATSON, ANNA
FORTUNATO, GIACOMO J	PROFESSOR ANGST/DR.
FORTUNATO, GIACOMO J	STACY, ARTHUR
FORTUNATO, GIACOMO J	THOMPSON, EUGENE FLA
FORTUNATO, GIACOMO J	JAMESON, J. JONAH
FORTUNATO, GIACOMO J	AURA/ANN HERD
FORTUNATO, GIACOMO J	FIELDING, CLARENCE
FIELDING, CLARENCE	GREEN GOBLIN/NORMAN
FIELDING, CLARENCE	STACY, PAUL
FIELDING, CLARENCE	STACY, JILL
FIELDING, CLARENCE	WATSON-PARKER, MARY
FIELDING, CLARENCE	OVERRIDE/DR. GREGORY
FIELDING, CLARENCE	SPIDER-MAN/PETER PARKER
FIELDING, CLARENCE	OSBORN, NORMIE
FIELDING, CLARENCE	GREEN GOBLIN V/
FIELDING, CLARENCE	OSBORN, LIZ ALLAN
FIELDING, CLARENCE	SHOTGUN III/
FIELDING, CLARENCE	URICH, BEN
FIELDING, CLARENCE	PUNISHER II/FRANK CA
FIELDING, CLARENCE	WATSON, ANNA
FIELDING, CLARENCE	PROFESSOR ANGST/DR.
FIELDING, CLARENCE	LEEDS, BETTY BRANT
FIELDING, CLARENCE	STACY, ARTHUR
FIELDING, CLARENCE	THOMPSON, EUGENE FLA
FIELDING, CLARENCE	JAMESON, J. JONAH
FIELDING, CLARENCE	AURA/ANN HERD
AURA/ANN HERD	GREEN GOBLIN/NORMAN
AURA/ANN HERD	STACY, PAUL
AURA/ANN HERD	STACY, JILL
AURA/ANN HERD	WATSON-PARKER, MARY
AURA/ANN HERD	OVERRIDE/DR. GREGORY
AURA/ANN HERD	SPIDER-MAN/PETER PARKER
AURA/ANN HERD	OSBORN, NORMIE
AURA/ANN HERD	GREEN GOBLIN V/
AURA/ANN HERD	OSBORN, LIZ ALLAN
AURA/ANN HERD	SHOTGUN III/
AURA/ANN HERD	URICH, BEN
AURA/ANN HERD	PUNISHER II/FRANK CA
AURA/ANN HERD	WATSON, ANNA
AURA/ANN HERD	PROFESSOR ANGST/DR.
AURA/ANN HERD	LEEDS, BETTY BRANT
AURA/ANN HERD	STACY, ARTHUR
AURA/ANN HERD	THOMPSON, EUGENE FLA
AURA/ANN HERD	JAMESON, J. JONAH
JAMESON, J. JONAH	STACY, PAUL
JAMESON, J. JONAH	SHOTGUN III/
JAMESON, J. JONAH	PUNISHER II/FRANK CA
JAMESON, J. JONAH	PROFESSOR ANGST/DR.
JAMESON, J. JONAH	STACY, ARTHUR
THOMPSON, EUGENE FLA	STACY, PAUL
THOMPSON, EUGENE FLA	SHOTGUN III/
THOMPSON, EUGENE FLA	PUNISHER II/FRANK CA
THOMPSON, EUGENE FLA	PROFESSOR ANGST/DR.
STACY, ARTHUR	OVERRIDE/DR. GREGORY
STACY, ARTHUR	OSBORN, NORMIE
STACY, ARTHUR	GREEN GOBLIN V/
STACY, ARTHUR	OSBORN, LIZ ALLAN
STACY, ARTHUR	SHOTGUN III/
STACY, ARTHUR	URICH, BEN
STACY, ARTHUR	PUNISHER II/FRANK CA
STACY, ARTHUR	PROFESSOR ANGST/DR.
LEEDS, BETTY BRANT	STACY, PAUL
LEEDS, BETTY BRANT	SHOTGUN III/
LEEDS, BETTY BRANT	PUNISHER II/FRANK CA
LEEDS, BETTY BRANT	PROFESSOR ANGST/DR.
PROFESSOR ANGST/DR.	STACY, PAUL
PROFESSOR ANGST/DR.	STACY, JILL
PROFESSOR ANGST/DR.	OVERRIDE/DR. GREGORY
PROFESSOR ANGST/DR.	OSBORN, NORMIE
PROFESSOR ANGST/DR.	GREEN GOBLIN V/
PROFESSOR ANGST/DR.	OSBORN, LIZ ALLAN
PROFESSOR ANGST/DR.	SHOTGUN III/
PROFESSOR ANGST/DR.	URICH, BEN
PROFESSOR ANGST/DR.	PUNISHER II/FRANK CA
WATSON, ANNA	OVERRIDE/DR. GREGORY
WATSON, ANNA	GREEN GOBLIN V/
WATSON, ANNA	SHOTGUN III/
PUNISHER II/FRANK CA	GREEN GOBLIN/NORMAN
PUNISHER II/FRANK CA	STACY, PAUL
PUNISHER II/FRANK CA	STACY, JILL
PUNISHER II/FRANK CA	OVERRIDE/DR. GREGORY
PUNISHER II/FRANK CA	OSBORN, NORMIE
PUNISHER II/FRANK CA	GREEN GOBLIN V/
PUNISHER II/FRANK CA	OSBORN, LIZ ALLAN
PUNISHER II/FRANK CA	SHOTGUN III/
PUNISHER II/FRANK CA	URICH, BEN
URICH, BEN	STACY, PAUL
URICH, BEN	OSBORN, NORMIE
URICH, BEN	OSBORN, LIZ ALLAN
URICH, BEN	SHOTGUN III/
SHOTGUN III/	GREEN GOBLIN/NORMAN
SHOTGUN III/	STACY, PAUL
SHOTGUN III/	STACY, JILL
SHOTGUN III/	WATSON-PARKER, MARY
SHOTGUN III/	OVERRIDE/DR. GREGORY
SHOTGUN III/	SPIDER-MAN/PETER PARKER
SHOTGUN III/	OSBORN, NORMIE
SHOTGUN III/	GREEN GOBLIN V/
SHOTGUN III/	OSBORN, LIZ ALLAN
OSBORN, LIZ ALLAN	STACY, PAUL
OSBORN, LIZ ALLAN	STACY, JILL
OSBORN, LIZ ALLAN	OVERRIDE/DR. GREGORY
OSBORN, LIZ ALLAN	GREEN GOBLIN V/
GREEN GOBLIN V/	STACY, PAUL
GREEN GOBLIN V/	OVERRIDE/DR. GREGORY
GREEN GOBLIN V/	OSBORN, NORMIE
OSBORN, NORMIE	STACY, PAUL
OSBORN, NORMIE	STACY, JILL
OSBORN, NORMIE	OVERRIDE/DR. GREGORY
OVERRIDE/DR. GREGORY	GREEN GOBLIN/NORMAN
OVERRIDE/DR. GREGORY	STACY, PAUL
OVERRIDE/DR. GREGORY	STACY, JILL
LILITH/ANGEL O'HARA/	DRACULA/VLAD TEPES
NELSON, FRANKLIN FOG	NELSON, DEBBIE HARRI
DAREDEVIL/MATT MURDO	NELSON, DEBBIE HARRI
GLENN, HEATHER	NELSON, DEBBIE HARRI
FOREIGNER/RAFAEL BAS	TOWER, BLAKE
FOREIGNER/RAFAEL BAS	DAREDEVIL/MATT MURDO
FOREIGNER/RAFAEL BAS	THING/BEN GRIMM
FOREIGNER/RAFAEL BAS	INVISIBLE WOMAN/SUE
FOREIGNER/RAFAEL BAS	MASTERS, ALICIA REIS
FOREIGNER/RAFAEL BAS	RICHARDS, FRANKLIN B
FOREIGNER/RAFAEL BAS	HARKNESS, AGATHA
FOREIGNER/RAFAEL BAS	MR. FANTASTIC/REED RICHARDS
FOREIGNER/RAFAEL BAS	MOLE MAN/HARVEY RUPE
FOREIGNER/RAFAEL BAS	HUMAN TORCH/JOHNNY S
HUMAN TORCH/JOHNNY S	TOWER, BLAKE
MOLE MAN/HARVEY RUPE	TOWER, BLAKE
MOLE MAN/HARVEY RUPE	HARKNESS, AGATHA
MR. FANTASTIC/REED RICHARDS	TOWER, BLAKE
MR. FANTASTIC/REED RICHARDS	HARKNESS, AGATHA
HARKNESS, AGATHA	TOWER, BLAKE
HARKNESS, AGATHA	DAREDEVIL/MATT MURDO
HARKNESS, AGATHA	MASTERS, ALICIA REIS
HARKNESS, AGATHA	RICHARDS, FRANKLIN B
RICHARDS, FRANKLIN B	TOWER, BLAKE
MASTERS, ALICIA REIS	TOWER, BLAKE
INVISIBLE WOMAN/SUE	TOWER, BLAKE
THING/BEN GRIMM	TOWER, BLAKE
SPHINX	THRAXON
SPHINX	KARNAK [INHUMAN]
SPHINX	GORGON [INHUMAN]
SPHINX	BLACK BOLT/BLACKANTO
SPHINX	INVISIBLE WOMAN/SUE
